Generator_ID;efficiency;VOM;Unavailability;fuel_cost(euro/GJ);fuel_cost(euro/MWh);emissions(kg/GJ)
Battery;0.9;3.1;0;;;
CCGT;0.55;1.6;0.22;7.9;28.44;57
Coal;0.4;3.3;0.24;2.37;8.532;94
Lignite;0.4;3.3;0.24;1.1;3.96;101
Nuclear;0.33;9;0.2;0.47;1.692;0
OCGT;0.4;1.6;0.22;7.9;28.44;57
Oil_shale;0.35;3.3;0.24;2.3;8.28;100
Oil_heavy;0.35;3.3;0.25;15.53;55.908;78
Oil_light;0.35;1.1;0.23;18.93;68.148;78
PS_C;0.9;0;0;;0;
PV;;0;0;;0;
PS_O;0.9;0;0;;0;
RES;0.9;0;0;;0;
ROR;0.9;0;0;;0;
w_off;;0;0;;0;
w_on;;0;0;;0;
