,Node,Generator_ID,Parameter,Category,Case,Scenario,Year,Climate Year,Value,Simulation_ID,Node 1,Path,Simulation_type,Sector,Note,Super_type
0,BA00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,30.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
1,BE00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,1800.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
2,DE00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,5888.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
3,EE00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,135.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
4,ES00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,6000.0,DE2040 Update,,,IoSN Lite,Electricity,Generation in Spain excludes Balearic islands,DSR
5,FI00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,8550.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
6,FR00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,3400.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
7,HR00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,1.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
8,IE00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,1900.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
9,ITCN,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,253.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
10,ITCS,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,166.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
11,ITN1,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,1644.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
12,ITS1,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,206.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
13,ITSA,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,9.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
14,ITSI,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,26.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
15,LT00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,40.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
16,LUG1,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,8.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
17,LV00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,36.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
18,NL00,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,700.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
19,NOM1,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,1424.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
20,NON1,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,1296.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
21,NOS0,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,3584.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
22,SE01,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,214.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
23,SE02,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,323.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
24,SE03,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,936.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
25,SE04,DSR,Capacity,Electricity Market,,Distributed Energy,2040,2007,264.0,DE2040 Update,,,IoSN Lite,Electricity,,DSR
